Name,Description,Price1,Price2,Image
Berenjena,Berenjena negra Unidad,$680,$ Precio x Un : $680,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/330506a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Naranjas,Naranjas Bolsa,$2.290,$ Precio x Kg : $1.527,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/693979a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Manzana,Manzana Pink Lady,$1.790,Precio x Kg:$1.790,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/829882a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Manzanas,Manzana Roja Malla,$2.190,$ Precio x Kg : $1.095,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/6729a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Arándanos,Arándanos Pote,$2.090,$ Precio x Kg : $16.720,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/330908a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Tunas,Tunas,$2.390,Precio x Kg:$2.390,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/730186a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Tomates,Tomates Racimo Granel,$1.790,Precio x Kg:$1.790,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/323974a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Zapallo,Zapallo Butternut Unidad,$1.590,$ Precio x Un : $1.590,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/316891a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Manzanas,Manzana Roja Granel,$1.790,Precio x Kg:$1.790,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/829878a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Limones,Limones Sutil Malla,$2.750,$ Precio x Kg : $2.750,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/323388a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
