Name,Description,Price1,Price2,Image
Ballerina,Jabón Líquido Maqui y Acai,$1.290,$ Precio x L : $1.433,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1006428a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Arcor,Tableta Rocklet Maní,$1.290,$ Precio x Kg : $9.923,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/992122a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Sana Locura,Chip Coco Chocolate,$1.330,$ Precio x Kg : $33.250,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/992193a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Sana Locura,Chip Coco Original,$1.330,$ Precio x Kg : $33.250,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/992191a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Iansa,Azúcar Granulada,$1.450,$ Precio x Kg : $967,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1054718a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Pancho Villa,Papotas Sour Cream,$1.550,$ Precio x Kg : $10.333,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1026525a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Pancho Villa,Papotas BBQ Chipotle,$1.550,$ Precio x Kg : $10.333,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1026527a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Sana Locura,Coco Crispy Mix Semillas sin Gluten,$1.590,$ Precio x Kg : $22.714,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1010494a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Sana Locura,Coco Skinny Sabor Vainilla sin Gluten,$1.690,$ Precio x Kg : $28.167,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1010498a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Sana Locura,Brownie Thins Sabor Chocolate sin Gluten,$1.690,$ Precio x Kg : $28.167,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1010496a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Colun,Leche con Café Caramelo Sin Lactosa,$1.850,$ Precio x L : $1.850,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1032378a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Colun,Leche con Café Cappuccino Sin Lactosa,$1.850,$ Precio x L : $1.850,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1032376a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Pepsi + Lay's,"SuperPack Bebida Zero 1,5 L + Papas Fritas Corte Americano 240g",$1.900,,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/BNDLSKU_20000186a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Sembrasol,Maní Tostado Salado,$1.950,$ Precio x Kg : $4.535,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1016030a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
